Team2,Season,Team1,DayNum,WTeamID,WScore,LTeamID,LScore,WLoc,NumOT,id_diff,result,TeamName_1,FirstD1Season_1,LastD1Season_1,Seed_1,ConfAbbrev_1,seed_1,FirstDayNum_1,LastDayNum_1,CoachName_1,rank_1,team_1,conference_1,record_1,adj_em_1,adj_o_1,adj_o_rank_1,adj_d_1,adj_d_rank_1,adj_tempo_1,adj_tempo_rank_1,luck_1,luck_rank_1,sos_adj_em_1,sos_adj_em_rank_1,sos_adj_o_1,sos_adj_o_rank_1,sos_adj_d_1,sos_adj_d_rank_1,nc_sos_adj_em_1,nc_sos_adj_em_rank_1,ncaa_seed_1,wins_1,loses_1,score_1,opp_score_1,FGP_1,FGP3_1,FTP_1,ORPG_1,DRPG_1,ASPG_1,TOPG_1,STPG_1,BLPG_1,PFPG_1,MORP_1,MPOS_1,TPpcnt_1,TeamName_2,FirstD1Season_2,LastD1Season_2,Seed_2,ConfAbbrev_2,seed_2,FirstDayNum_2,LastDayNum_2,CoachName_2,rank_2,team_2,conference_2,record_2,adj_em_2,adj_o_2,adj_o_rank_2,adj_d_2,adj_d_rank_2,adj_tempo_2,adj_tempo_rank_2,luck_2,luck_rank_2,sos_adj_em_2,sos_adj_em_rank_2,sos_adj_o_2,sos_adj_o_rank_2,sos_adj_d_2,sos_adj_d_rank_2,nc_sos_adj_em_2,nc_sos_adj_em_rank_2,ncaa_seed_2,wins_2,loses_2,score_2,opp_score_2,FGP_2,FGP3_2,FTP_2,ORPG_2,DRPG_2,ASPG_2,TOPG_2,STPG_2,BLPG_2,PFPG_2,MORP_2,MPOS_2,TPpcnt_2,FGP_diff,FGP3_diff,FTP_diff,ORPG_diff,DRPG_diff,ASPG_diff,TOPG_diff,STPG_diff,BLPG_diff,PFPG_diff,MORP_diff,MPOS_diff,seed_diff
1125,2013,1112,136,1112,81,1125,64,N,0,-13,1,Arizona,1985,2019,Z06,pac_twelve,06,0,154,sean_miller,14,Arizona,P12,27-8,21.88,115.4,13,93.5,32,65.5,133,-0.012,214,7.99,24,106.4,29,98.5,27,1.45,116,6,25,7,73.28125,63.6875,0.449747332959012,0.362962962962963,0.747747747747748,11.53125,24.71875,13.84375,13.09375,6.9375,3.90625,16.34375,0.354409678667393,63.7212,0.234225621414914,Belmont,2000,2019,Z11,ovc,11,0,154,rick_byrd,43,Belmont,OVC,26-7,14.92,111.6,37,96.6,69,65.9,114,0.013,144,-0.74,157,103.8,118,104.6,244,5.39,33,11,24,6,76.9,64.6333333333334,0.493746277546158,0.375565610859729,0.735294117647059,9.36666666666667,22.8333333333333,15.8,13.5666666666667,9.53333333333333,2.73333333333333,18.2,0.301188273123187,65.41952,0.230983302411874,-0.0439989445871466,-0.0126026478967655,0.0124536301006889,2.16458333333333,1.88541666666667,-1.95625,-0.472916666666666,-2.59583333333333,1.17291666666667,-1.85625,0.0532214055442066,-1.69832,-5
1137,2006,1116,137,1137,59,1116,55,N,0,21,0,Arkansas,1985,2019,X08,sec,08,0,154,stan_heath,20,Arkansas,SEC,22-10,18.47,112.2,34,93.8,29,66,133,-0.062,293,6.35,58,106,62,99.6,57,-4.78,274,8,22,9,74.3225806451613,65.0645161290323,0.459217877094972,0.339731285988484,0.693965517241379,12.1935483870968,22.8387096774194,15.5483870967742,13.3870967741935,8.45161290322581,6.12903225806452,16.9354838709677,0.357904037056,66.0616258064516,0.177177177177177,Bucknell,1985,2019,X09,patriot,09,0,154,pat_flannery,58,Bucknell,Pat,27-5,12.56,105.7,119,93.1,22,61.8,294,0.092,13,-3.17,214,100.2,265,103.4,167,7.18,32,9,25,4,66.3103448275862,55.6551724137931,0.471045197740113,0.38716814159292,0.691151919866444,9.31034482758621,22.3793103448276,14.5862068965517,14.4827586206897,8.72413793103448,1.68965517241379,17.551724137931,0.316329501677161,60.5647448275862,0.207838479809976,-0.0118273206451409,-0.0474368556044367,0.00281359737493525,2.88320355951057,0.459399332591769,0.96218020022247,-1.09566184649611,-0.272525027808676,4.43937708565072,-0.616240266963295,0.0415745353788385,5.49688097886541,-1
1138,2018,1112,136,1138,89,1112,68,N,0,26,0,Arizona,1985,2019,Y04,pac_twelve,04,0,154,sean_miller,28,Arizona,P12,27-8,17.7,118,15,100.4,83,67.1,224,0.036,88,5.96,68,108.5,65,102.5,73,2.51,86,4,27,7,80.8823529411765,71.1764705882353,0.505415162454874,0.376602564102564,0.76027397260274,10.0294117647059,26.6176470588235,15.2352941176471,12.2941176470588,4.97058823529412,4.55882352941176,17.5,0.32941742888646,65.9915294117647,0.193415637860082,Buffalo,1992,2019,Y13,mac,13,0,154,nate_oats,67,Buffalo,MAC,27-9,11.53,114.7,34,103.2,135,72.7,16,0.006,158,-0.06,140,105.1,145,105.2,147,3.87,62,13,25,8,84.6969696969697,76.5151515151515,0.473807296538821,0.371929824561404,0.695987654320988,12.030303030303,26.8181818181818,16.7575757575758,12.3939393939394,6.21212121212121,4.33333333333333,21.1515151515152,0.313449018016512,70.8398545454546,0.238918106686702,0.0316078659160523,0.0046727395411606,0.0642863182817521,-2.00089126559715,-0.200534759358288,-1.5222816399287,-0.0998217468805702,-1.24153297682709,0.225490196078431,-3.65151515151515,0.0159684108699478,-4.84832513368984,-9
1139,2013,1137,136,1139,68,1137,56,N,0,2,0,Bucknell,1985,2019,W11,patriot,11,0,154,david_paulsen,58,Bucknell,Pat,28-6,12.72,107.3,87,94.6,43,61.9,282,-0.014,220,-1.72,178,102.4,160,104.1,223,2.78,84,11,27,5,67.25,57.6875,0.455404607206143,0.360097323600973,0.746365105008078,9.03125,27.125,13.4375,9.4375,3.5,4.0625,14.65625,0.294531985731583,59.3508,0.161044613710555,Butler,1985,2019,W06,a_ten,06,0,154,brad_stevens,42,Butler,A10,27-9,15.41,110.5,47,95.1,48,63.6,217,0.087,14,7.53,30,106.8,21,99.3,53,4.18,57,6,25,8,68.4242424242424,63.5151515151515,0.448608745031232,0.343402225755167,0.688524590163934,11.6060606060606,24.8787878787879,12.8787878787879,13.2727272727273,5.66666666666667,2.3030303030303,18.0606060606061,0.359334588970951,61.4178909090909,0.214711729622266,0.00679586217491068,0.0166950978458063,0.0578405148441431,-2.57481060606061,2.24621212121212,0.558712121212121,-3.83522727272727,-2.16666666666667,1.7594696969697,-3.40435606060606,-0.064802603239368,-2.06709090909091,5
1139,2018,1116,137,1139,79,1116,62,N,0,23,0,Arkansas,1985,2019,W07,sec,07,0,154,mike_anderson,44,Arkansas,SEC,23-12,14.69,116.3,20,101.7,106,69.7,91,0.059,56,9.9,25,110.5,28,100.6,27,0.87,141,7,23,11,81.0882352941177,75.5294117647059,0.47746000969462,0.400907715582451,0.677922077922078,10.1764705882353,24.5882352941177,14.4705882352941,11,6.23529411764706,4.61764705882353,20.2058823529412,0.294323444945206,68.6061176470588,0.212,Butler,1985,2019,W10,big_east,10,0,154,lavall_jordan,20,Butler,BE,21-14,19.05,116.2,22,97.2,45,67.6,207,-0.047,290,11.21,7,112,1,100.8,34,0.11,154,10,20,13,79.1212121212121,72.7878787878788,0.472317491425772,0.355731225296443,0.770522388059702,9.21212121212121,24.7878787878788,14,11.1818181818182,6.72727272727273,2.93939393939394,18.2424242424242,0.270645566716699,68.1262545454545,0.218800648298217,0.00514251826884782,0.0451764902860081,-0.0926003101376236,0.964349376114081,-0.19964349376114,0.470588235294118,-0.181818181818182,-0.491978609625669,1.67825311942959,1.96345811051694,0.0236778782285066,0.479863101604281,-3
1155,2018,1120,139,1155,84,1120,53,N,0,35,0,Auburn,1985,2019,X04,sec,04,0,154,bruce_pearl,23,Auburn,SEC,26-8,18.69,115.4,26,96.7,37,72.6,18,0.034,94,7.52,57,108.8,58,101.3,51,-1.86,211,4,25,7,83.375,73.3125,0.439049064238746,0.366197183098592,0.785804816223067,12.125,26.03125,14.4375,12.25,7.4375,5.40625,19.875,0.326258511425489,69.8448,0.264406779661017,Clemson,1985,2019,X05,acc,05,0,154,brad_brownell,14,Clemson,ACC,25-10,21.65,114.2,44,92.6,7,66.1,274,-0.009,203,10.22,20,110.6,26,100.4,23,-1.91,214,5,23,9,73.28125,65.8125,0.452967525195969,0.366391184573003,0.756978653530378,8.96875,26.5,13.1875,12.09375,5.6875,4.84375,16,0.272587313427409,64.6188,0.247441860465116,-0.0139184609572231,-0.000194001474411176,0.0288261626926896,3.15625,-0.46875,1.25,0.15625,1.75,0.5625,3.875,0.0536711979980797,5.226,-1
1156,2009,1112,139,1112,71,1156,57,N,0,-44,1,Arizona,1985,2019,Y12,pac_ten,12,0,154,russ_pennell,37,Arizona,P10,21-14,15.96,117.7,6,101.8,147,64.9,187,0.018,119,11.33,6,109,10,97.7,8,2.34,100,12,19,13,72.1875,68.4375,0.474566473988439,0.395209580838323,0.734375,11.09375,22.75,14.4375,12.59375,5.96875,3.0625,15.625,0.35595173986235,61.788,0.194308145240432,Cleveland St,1985,2019,Y13,horizon,13,0,154,gary_waters,66,Cleveland St.,Horz,26-11,11.96,105.3,124,93.3,29,63.7,243,0.009,145,3.76,88,104.6,100,100.9,81,7.07,33,13,22,10,64.96875,59.84375,0.425274091171379,0.309572301425662,0.704510108864697,11.5625,22.09375,13.4375,12.46875,8.59375,3.28125,18.375,0.333992601657544,61.3476,0.170978627671541,0.0492923828170602,0.0856372794126615,0.0298648911353032,-0.46875,0.65625,1,0.125,-2.625,-0.21875,-2.75,0.0219591382048064,0.440399999999997,-1
1158,2018,1120,137,1120,62,1158,58,N,0,-38,1,Auburn,1985,2019,X04,sec,04,0,154,bruce_pearl,23,Auburn,SEC,26-8,18.69,115.4,26,96.7,37,72.6,18,0.034,94,7.52,57,108.8,58,101.3,51,-1.86,211,4,25,7,83.375,73.3125,0.439049064238746,0.366197183098592,0.785804816223067,12.125,26.03125,14.4375,12.25,7.4375,5.40625,19.875,0.326258511425489,69.8448,0.264406779661017,Col Charleston,1992,2019,X13,caa,13,0,154,earl_grant,115,College of Charleston,CAA,26-8,5.16,108.7,105,103.6,149,64.9,323,0.035,91,-4.06,257,104.8,153,108.9,332,-7.64,337,13,24,7,75.1935483870968,69.7741935483871,0.460654796094199,0.363777089783282,0.767550702028081,8.35483870967742,24.4516129032258,11.0645161290323,9.87096774193548,5.35483870967742,3.67741935483871,16.6451612903226,0.252668609360482,64.104464516129,0.226615236258438,-0.0216057318554532,0.00242009331530985,0.018254114194986,3.77016129032258,1.57963709677419,3.37298387096774,2.37903225806452,2.08266129032258,1.72883064516129,3.22983870967742,0.0735899020650068,5.74033548387097,-9
1160,2012,1124,138,1124,80,1160,63,N,0,-36,1,Baylor,1985,2019,Y03,big_twelve,03,0,154,scott_drew,13,Baylor,B12,30-8,21.29,116,13,94.7,34,65.6,138,0.059,40,9.61,7,108.1,10,98.5,8,-2.7,236,3,26,7,74.2727272727273,65.2727272727273,0.465909090909091,0.376910016977929,0.752225519287834,12.1212121212121,23.9090909090909,14.7272727272727,13.8484848484848,7.63636363636364,4.63636363636364,17.6363636363636,0.3750341581216,64.0453818181818,0.204986149584488,Colorado,1985,2019,Y11,pac_twelve,11,0,154,tad_boyle,81,Colorado,P12,24-12,8.89,104.8,137,95.9,46,65.1,170,0.081,19,5.35,59,105.7,57,100.4,58,0.06,154,11,21,11,66.28125,63.5625,0.439540507859734,0.340996168582375,0.686797752808989,9.5625,25.25,11.375,12.5625,5.875,3.25,17.09375,0.294433047685619,61.8984,0.196685082872928,0.0263685830493569,0.0359138483955532,0.0654277664788451,2.55871212121212,-1.34090909090909,3.35227272727273,1.28598484848485,1.76136363636364,1.38636363636364,0.542613636363637,0.0806011104359803,2.14698181818181,-8
1163,2003,1140,136,1163,58,1140,53,N,0,23,0,BYU,1985,2019,X12,mwc,12,0,154,steve_cleveland,24,BYU,MWC,23-9,17.68,109.4,52,91.7,16,65.5,234,-0.031,247,5.49,74,107.4,9,101.9,130,5.2,52,12,23,8,72.4516129032258,63.6774193548387,0.468848332284456,0.384,0.753004005340454,10.8709677419355,24.4193548387097,13.4193548387097,13.741935483871,6.93548387096774,2.51612903225806,21.4193548387097,0.343469745303682,62.1696,0.204909284951974,Connecticut,1985,2019,X05,big_east,05,0,154,jim_calhoun,22,Connecticut,BE,23-10,19.54,111.6,26,92,17,71.2,29,0.005,152,8.75,29,107.3,10,98.6,57,-3.47,236,5,21,9,80.0333333333333,71.4,0.47481243301179,0.386411889596603,0.67420814479638,14.7666666666667,27.9,15.6333333333333,15.8,5.93333333333333,7.73333333333333,18.4,0.403977157121845,70.03904,0.170411985018727,-0.00596410072733428,-0.00241188959660299,0.0787958605440738,-3.89569892473118,-3.48064516129032,-2.21397849462366,-2.05806451612903,1.00215053763441,-5.21720430107527,3.01935483870968,-0.0605074118181634,-7.86944,7
