Team2,Season,Team1,DayNum,WTeamID,WScore,LTeamID,LScore,WLoc,NumOT,id_diff,result,TeamName_1,CoachName_1,FirstD1Season_1,LastD1Season_1,Seed_1,seed_1,ConfAbbrev_1,FirstDayNum_1,LastDayNum_1,CoachPriorWins_1,rank_1,team_1,conference_1,record_1,adj_em_1,adj_o_1,adj_o_rank_1,adj_d_1,adj_d_rank_1,adj_tempo_1,adj_tempo_rank_1,luck_1,luck_rank_1,sos_adj_em_1,sos_adj_em_rank_1,sos_adj_o_1,sos_adj_o_rank_1,sos_adj_d_1,sos_adj_d_rank_1,nc_sos_adj_em_1,nc_sos_adj_em_rank_1,ncaa_seed_1,wins_1,loses_1,win_pcnt_1,score_1,opp_score_1,FGP_1,FGP3_1,FTP_1,ORPG_1,DRPG_1,ASPG_1,TOPG_1,STPG_1,BLPG_1,PFPG_1,MORP_1,MPOS_1,TPpcnt_1,PPPos_1,OPPPos_1,TOPPos_1,DRPPos_1,STLPos_1,TeamName_2,CoachName_2,FirstD1Season_2,LastD1Season_2,Seed_2,seed_2,ConfAbbrev_2,FirstDayNum_2,LastDayNum_2,CoachPriorWins_2,rank_2,team_2,conference_2,record_2,adj_em_2,adj_o_2,adj_o_rank_2,adj_d_2,adj_d_rank_2,adj_tempo_2,adj_tempo_rank_2,luck_2,luck_rank_2,sos_adj_em_2,sos_adj_em_rank_2,sos_adj_o_2,sos_adj_o_rank_2,sos_adj_d_2,sos_adj_d_rank_2,nc_sos_adj_em_2,nc_sos_adj_em_rank_2,ncaa_seed_2,wins_2,loses_2,win_pcnt_2,score_2,opp_score_2,FGP_2,FGP3_2,FTP_2,ORPG_2,DRPG_2,ASPG_2,TOPG_2,STPG_2,BLPG_2,PFPG_2,MORP_2,MPOS_2,TPpcnt_2,PPPos_2,OPPPos_2,TOPPos_2,DRPPos_2,STLPos_2,adj_em_diff,adj_o_diff,adj_o_rank_diff,adj_d_diff,adj_d_rank_diff,adj_tempo_diff,adj_tempo_rank_diff,luck_diff,luck_rank_diff,sos_adj_em_diff,sos_adj_em_rank_diff,sos_adj_o_diff,sos_adj_o_rank_diff,sos_adj_d_diff,sos_adj_d_rank_diff,nc_sos_adj_em_diff,nc_sos_adj_em_rank_diff,FGP_diff,FGP3_diff,FTP_diff,ORPG_diff,DRPG_diff,ASPG_diff,TOPG_diff,STPG_diff,BLPG_diff,PFPG_diff,MORP_diff,MPOS_diff,TPpcnt_diff,PPPos_diff,OPPPos_diff,TOPPos_diff,DRPPos_diff,STLPos_diff,seed_diff
1125,2013,1112,136,1112,81,1125,64,N,0,-13,1,Arizona,sean_miller,1985,2019,Z06,06,pac_twelve,0,154,9,14,Arizona,P12,27-8,21.88,115.4,13,93.5,32,65.5,133,-0.012,214,7.99,24,106.4,29,98.5,27,1.45,116,6,25,7,3.57142857142857,73.28125,63.6875,0.449747332959012,0.362962962962963,0.747747747747748,11.53125,24.71875,13.84375,13.09375,6.9375,3.90625,16.34375,0.354409678667393,63.7212,0.234225621414914,1.15002934659109,0.991627896838001,0.205484987727789,0.384876185671668,0.108018347938192,Belmont,rick_byrd,2000,2019,Z11,11,ovc,0,154,0,43,Belmont,OVC,26-7,14.92,111.6,37,96.6,69,65.9,114,0.013,144,-0.74,157,103.8,118,104.6,244,5.39,33,11,24,6,4,76.9,64.6333333333334,0.493746277546158,0.375565610859729,0.735294117647059,9.36666666666667,22.8333333333333,15.8,13.5666666666667,9.53333333333333,2.73333333333333,18.2,0.301188273123187,65.41952,0.230983302411874,1.17549012894011,0.997191612193982,0.207379489587613,0.352282751084517,0.147084477095141,6.96,3.80000000000001,-24,-3.09999999999999,-37,-0.400000000000006,19,-0.025,70,8.73,-133,2.60000000000001,-89,-6.09999999999999,-217,-3.94,83,-0.0439989445871466,-0.0126026478967655,0.0124536301006889,2.16458333333333,1.88541666666667,-1.95625,-0.472916666666666,-2.59583333333333,1.17291666666667,-1.85625,0.0532214055442066,-1.69832,0.00324231900304012,-0.0254607823490209,-0.00556371535598088,-0.0018945018598242,0.0325934345871512,-0.0390661291569488,-5
1137,2006,1116,137,1137,59,1116,55,N,0,21,0,Arkansas,stan_heath,1985,2019,X08,08,sec,0,154,0,20,Arkansas,SEC,22-10,18.47,112.2,34,93.8,29,66,133,-0.062,293,6.35,58,106,62,99.6,57,-4.78,274,8,22,9,2.44444444444444,74.3225806451613,65.0645161290323,0.459217877094972,0.339731285988484,0.693965517241379,12.1935483870968,22.8387096774194,15.5483870967742,13.3870967741935,8.45161290322581,6.12903225806452,16.9354838709677,0.357904037056,66.0616258064516,0.177177177177177,1.12504922090341,0.993400315208826,0.202645584494322,0.348699763593381,0.129038613081166,Bucknell,pat_flannery,1985,2019,X09,09,patriot,0,154,1,58,Bucknell,Pat,27-5,12.56,105.7,119,93.1,22,61.8,294,0.092,13,-3.17,214,100.2,265,103.4,167,7.18,32,9,25,4,6.25,66.3103448275862,55.6551724137931,0.471045197740113,0.38716814159292,0.691151919866444,9.31034482758621,22.3793103448276,14.5862068965517,14.4827586206897,8.72413793103448,1.68965517241379,17.551724137931,0.316329501677161,60.5647448275862,0.207838479809976,1.09486707186427,0.915135317555357,0.239128533636503,0.367981921371392,0.143450579517661,5.91,6.5,-85,0.700000000000003,7,4.2,-161,-0.154,280,9.52,-156,5.8,-203,-3.80000000000001,-110,-11.96,242,-0.0118273206451409,-0.0474368556044367,0.00281359737493525,2.88320355951057,0.459399332591769,0.96218020022247,-1.09566184649611,-0.272525027808676,4.43937708565072,-0.616240266963295,0.0415745353788385,5.49688097886541,-0.0306613026327991,0.0301821490391412,0.0782649976534686,-0.0364829491421812,-0.0192821577780115,-0.014411966436495,-1
1138,2018,1112,136,1138,89,1112,68,N,0,26,0,Arizona,sean_miller,1985,2019,Y04,04,pac_twelve,0,154,0,28,Arizona,P12,27-8,17.7,118,15,100.4,83,67.1,224,0.036,88,5.96,68,108.5,65,102.5,73,2.51,86,4,27,7,3.85714285714286,80.8823529411765,71.1764705882353,0.505415162454874,0.376602564102564,0.76027397260274,10.0294117647059,26.6176470588235,15.2352941176471,12.2941176470588,4.97058823529412,4.55882352941176,17.5,0.32941742888646,65.9915294117647,0.193415637860082,1.22564749843117,1.06967264127458,0.186298419761538,0.400022206757644,0.0747002794939688,Buffalo,nate_oats,1992,2019,Y13,13,mac,0,154,0,67,Buffalo,MAC,27-9,11.53,114.7,34,103.2,135,72.7,16,0.006,158,-0.06,140,105.1,145,105.2,147,3.87,62,13,25,8,3.125,84.6969696969697,76.5151515151515,0.473807296538821,0.371929824561404,0.695987654320988,12.030303030303,26.8181818181818,16.7575757575758,12.3939393939394,6.21212121212121,4.33333333333333,21.1515151515152,0.313449018016512,70.8398545454546,0.238918106686702,1.19561185211954,1.07850232631884,0.174957154746652,0.378009726254326,0.0875615750080642,6.17,3.3,-19,-2.8,-52,-5.60000000000001,208,0.03,-70,6.02,-72,3.40000000000001,-80,-2.7,-74,-1.36,24,0.0316078659160523,0.0046727395411606,0.0642863182817521,-2.00089126559715,-0.200534759358288,-1.5222816399287,-0.0998217468805702,-1.24153297682709,0.225490196078431,-3.65151515151515,0.0159684108699478,-4.84832513368984,-0.0455024688266194,0.0300356463116316,-0.00882968504425641,0.0113412650148862,0.0220124805033178,-0.0128612955140954,-9
1139,2013,1137,136,1139,68,1137,56,N,0,2,0,Bucknell,david_paulsen,1985,2019,W11,11,patriot,0,154,0,58,Bucknell,Pat,28-6,12.72,107.3,87,94.6,43,61.9,282,-0.014,220,-1.72,178,102.4,160,104.1,223,2.78,84,11,27,5,5.4,67.25,57.6875,0.455404607206143,0.360097323600973,0.746365105008078,9.03125,27.125,13.4375,9.4375,3.5,4.0625,14.65625,0.294531985731583,59.3508,0.161044613710555,1.13309340396423,0.969544333071147,0.159012178437359,0.455885417717094,0.0588239248667218,Butler,brad_stevens,1985,2019,W06,06,a_ten,0,154,11,42,Butler,A10,27-9,15.41,110.5,47,95.1,48,63.6,217,0.087,14,7.53,30,106.8,21,99.3,53,4.18,57,6,25,8,3.125,68.4242424242424,63.5151515151515,0.448608745031232,0.343402225755167,0.688524590163934,11.6060606060606,24.8787878787879,12.8787878787879,13.2727272727273,5.66666666666667,2.3030303030303,18.0606060606061,0.359334588970951,61.4178909090909,0.214711729622266,1.1140767195266,1.02915574661714,0.216105227259809,0.403118734719787,0.0918187617449454,-2.69,-3.2,40,-0.5,-5,-1.7,65,-0.101,206,-9.25,148,-4.39999999999999,139,4.8,170,-1.4,27,0.00679586217491068,0.0166950978458063,0.0578405148441431,-2.57481060606061,2.24621212121212,0.558712121212121,-3.83522727272727,-2.16666666666667,1.7594696969697,-3.40435606060606,-0.064802603239368,-2.06709090909091,-0.0536671159117114,0.0190166844376287,-0.0596114135459948,-0.0570930488224505,0.0527666829973071,-0.0329948368782236,5
1139,2018,1116,137,1139,79,1116,62,N,0,23,0,Arkansas,mike_anderson,1985,2019,W07,07,sec,0,154,0,44,Arkansas,SEC,23-12,14.69,116.3,20,101.7,106,69.7,91,0.059,56,9.9,25,110.5,28,100.6,27,0.87,141,7,23,11,2.09090909090909,81.0882352941177,75.5294117647059,0.47746000969462,0.400907715582451,0.677922077922078,10.1764705882353,24.5882352941177,14.4705882352941,11,6.23529411764706,4.61764705882353,20.2058823529412,0.294323444945206,68.6061176470588,0.212,1.1819388427031,1.10626788638732,0.16033555573847,0.360140168621418,0.0913274111815079,Butler,lavall_jordan,1985,2019,W10,10,big_east,0,154,0,20,Butler,BE,21-14,19.05,116.2,22,97.2,45,67.6,207,-0.047,290,11.21,7,112,1,100.8,34,0.11,154,10,20,13,1.53846153846154,79.1212121212121,72.7878787878788,0.472317491425772,0.355731225296443,0.770522388059702,9.21212121212121,24.7878787878788,14,11.1818181818182,6.72727272727273,2.93939393939394,18.2424242424242,0.270645566716699,68.1262545454545,0.218800648298217,1.16139090060238,1.07380020485354,0.164133758070577,0.365682168014237,0.0992438157691449,-4.36,0.0999999999999943,-2,4.5,61,2.10000000000001,-116,0.106,-234,-1.31,18,-1.5,27,-0.200000000000003,-7,0.76,-13,0.00514251826884782,0.0451764902860081,-0.0926003101376236,0.964349376114081,-0.19964349376114,0.470588235294118,-0.181818181818182,-0.491978609625669,1.67825311942959,1.96345811051694,0.0236778782285066,0.479863101604281,-0.00680064829821719,0.020547942100728,0.0324676815337808,-0.0037982023321074,-0.00554199939281885,-0.00791640458763705,-3
1155,2018,1120,139,1155,84,1120,53,N,0,35,0,Auburn,bruce_pearl,1985,2019,X04,04,sec,0,154,10,23,Auburn,SEC,26-8,18.69,115.4,26,96.7,37,72.6,18,0.034,94,7.52,57,108.8,58,101.3,51,-1.86,211,4,25,7,3.57142857142857,83.375,73.3125,0.439049064238746,0.366197183098592,0.785804816223067,12.125,26.03125,14.4375,12.25,7.4375,5.40625,19.875,0.326258511425489,69.8448,0.264406779661017,1.19371807206836,1.05270526406479,0.175388862162967,0.37378665173315,0.106796186209471,Clemson,brad_brownell,1985,2019,X05,05,acc,0,154,1,14,Clemson,ACC,25-10,21.65,114.2,44,92.6,7,66.1,274,-0.009,203,10.22,20,110.6,26,100.4,23,-1.91,214,5,23,9,2.55555555555556,73.28125,65.8125,0.452967525195969,0.366391184573003,0.756978653530378,8.96875,26.5,13.1875,12.09375,5.6875,4.84375,16,0.272587313427409,64.6188,0.247441860465116,1.1340546404452,1.0260181841992,0.187155286077736,0.413135527160933,0.0886682381406719,-2.96,1.2,-18,4.10000000000001,30,6.5,-256,0.043,-109,-2.7,37,-1.8,32,0.899999999999992,28,0.0499999999999998,-3,-0.0139184609572231,-0.000194001474411176,0.0288261626926896,3.15625,-0.46875,1.25,0.15625,1.75,0.5625,3.875,0.0536711979980797,5.226,0.0169649191959007,0.0596634316231617,0.0266870798655854,-0.0117664239147688,-0.0393488754277831,0.0181279480687994,-1
1156,2009,1112,139,1112,71,1156,57,N,0,-44,1,Arizona,russ_pennell,1985,2019,Y12,12,pac_ten,0,154,0,37,Arizona,P10,21-14,15.96,117.7,6,101.8,147,64.9,187,0.018,119,11.33,6,109,10,97.7,8,2.34,100,12,19,13,1.46153846153846,72.1875,68.4375,0.474566473988439,0.395209580838323,0.734375,11.09375,22.75,14.4375,12.59375,5.96875,3.0625,15.625,0.35595173986235,61.788,0.194308145240432,1.16830938046223,1.1133914452492,0.203821939535185,0.370113685909325,0.0971040027591772,Cleveland St,gary_waters,1985,2019,Y13,13,horizon,0,154,1,66,Cleveland St.,Horz,26-11,11.96,105.3,124,93.3,29,63.7,243,0.009,145,3.76,88,104.6,100,100.9,81,7.07,33,13,22,10,2.2,64.96875,59.84375,0.425274091171379,0.309572301425662,0.704510108864697,11.5625,22.09375,13.4375,12.46875,8.59375,3.28125,18.375,0.333992601657544,61.3476,0.170978627671541,1.05902675899302,0.975887277732118,0.203247559806741,0.360288410107889,0.140140470692602,4,12.4,-118,8.5,118,1.2,-56,0.009,-26,7.57,-82,4.40000000000001,-90,-3.2,-73,-4.73,67,0.0492923828170602,0.0856372794126615,0.0298648911353032,-0.46875,0.65625,1,0.125,-2.625,-0.21875,-2.75,0.0219591382048064,0.440399999999997,0.0233295175688907,0.109282621469209,0.137504167517087,0.000574379728444235,0.00982527580143577,-0.0430364679334245,-1
1158,2018,1120,137,1120,62,1158,58,N,0,-38,1,Auburn,bruce_pearl,1985,2019,X04,04,sec,0,154,10,23,Auburn,SEC,26-8,18.69,115.4,26,96.7,37,72.6,18,0.034,94,7.52,57,108.8,58,101.3,51,-1.86,211,4,25,7,3.57142857142857,83.375,73.3125,0.439049064238746,0.366197183098592,0.785804816223067,12.125,26.03125,14.4375,12.25,7.4375,5.40625,19.875,0.326258511425489,69.8448,0.264406779661017,1.19371807206836,1.05270526406479,0.175388862162967,0.37378665173315,0.106796186209471,Col Charleston,earl_grant,1992,2019,X13,13,caa,0,154,0,115,College of Charleston,CAA,26-8,5.16,108.7,105,103.6,149,64.9,323,0.035,91,-4.06,257,104.8,153,108.9,332,-7.64,337,13,24,7,3.42857142857143,75.1935483870968,69.7741935483871,0.460654796094199,0.363777089783282,0.767550702028081,8.35483870967742,24.4516129032258,11.0645161290323,9.87096774193548,5.35483870967742,3.67741935483871,16.6451612903226,0.252668609360482,64.104464516129,0.226615236258438,1.17298458000812,1.09362258765969,0.153982531738517,0.383248229979679,0.0839303511564996,13.53,6.7,-79,-6.89999999999999,-112,7.69999999999999,-305,-0.001,3,11.58,-200,4,-95,-7.60000000000001,-281,5.78,-126,-0.0216057318554532,0.00242009331530985,0.018254114194986,3.77016129032258,1.57963709677419,3.37298387096774,2.37903225806452,2.08266129032258,1.72883064516129,3.22983870967742,0.0735899020650068,5.74033548387097,0.0377915434025792,0.0207334920602416,-0.0409173235949019,0.0214063304244499,-0.00946157824652921,0.0228658350529717,-9
1160,2012,1124,138,1124,80,1160,63,N,0,-36,1,Baylor,scott_drew,1985,2019,Y03,03,big_twelve,0,154,3,13,Baylor,B12,30-8,21.29,116,13,94.7,34,65.6,138,0.059,40,9.61,7,108.1,10,98.5,8,-2.7,236,3,26,7,3.71428571428571,74.2727272727273,65.2727272727273,0.465909090909091,0.376910016977929,0.752225519287834,12.1212121212121,23.9090909090909,14.7272727272727,13.8484848484848,7.63636363636364,4.63636363636364,17.6363636363636,0.3750341581216,64.0453818181818,0.204986149584488,1.15968903868166,1.02022025390128,0.216229249562432,0.373701847877487,0.119357244189007,Colorado,tad_boyle,1985,2019,Y11,11,pac_twelve,0,154,0,81,Colorado,P12,24-12,8.89,104.8,137,95.9,46,65.1,170,0.081,19,5.35,59,105.7,57,100.4,58,0.06,154,11,21,11,1.90909090909091,66.28125,63.5625,0.439540507859734,0.340996168582375,0.686797752808989,9.5625,25.25,11.375,12.5625,5.875,3.25,17.09375,0.294433047685619,61.8984,0.196685082872928,1.0708071614129,1.01683079935499,0.202953549687876,0.403932785584479,0.0939843610023292,12.4,11.2,-124,-1.2,-12,0.5,-32,-0.022,21,4.26,-52,2.39999999999999,-47,-1.90000000000001,-50,-2.76,82,0.0263685830493569,0.0359138483955532,0.0654277664788451,2.55871212121212,-1.34090909090909,3.35227272727273,1.28598484848485,1.76136363636364,1.38636363636364,0.542613636363637,0.0806011104359803,2.14698181818181,0.00830106671155936,0.0888818772687663,0.00338945454628936,0.0132756998745559,-0.0302309377069915,0.0253728831866781,-8
1163,2003,1140,136,1163,58,1140,53,N,0,23,0,BYU,steve_cleveland,1985,2019,X12,12,mwc,0,154,0,24,BYU,MWC,23-9,17.68,109.4,52,91.7,16,65.5,234,-0.031,247,5.49,74,107.4,9,101.9,130,5.2,52,12,23,8,2.875,72.4516129032258,63.6774193548387,0.468848332284456,0.384,0.753004005340454,10.8709677419355,24.4193548387097,13.4193548387097,13.741935483871,6.93548387096774,2.51612903225806,21.4193548387097,0.343469745303682,62.1696,0.204909284951974,1.16538650567521,1.01028339524006,0.221039470800375,0.387428840018605,0.11003593210568,Connecticut,jim_calhoun,1985,2019,X05,05,big_east,0,154,26,22,Connecticut,BE,23-10,19.54,111.6,26,92,17,71.2,29,0.005,152,8.75,29,107.3,10,98.6,57,-3.47,236,5,21,9,2.33333333333333,80.0333333333333,71.4,0.47481243301179,0.386411889596603,0.67420814479638,14.7666666666667,27.9,15.6333333333333,15.8,5.93333333333333,7.73333333333333,18.4,0.403977157121845,70.03904,0.170411985018727,1.14269603543015,1.02388491189427,0.22558847180087,0.400089482378855,0.085084740577582,-1.86,-2.19999999999999,26,-0.299999999999997,-1,-5.7,205,-0.036,95,-3.26,45,0.100000000000009,-1,3.30000000000001,73,8.67,-184,-0.00596410072733428,-0.00241188959660299,0.0787958605440738,-3.89569892473118,-3.48064516129032,-2.21397849462366,-2.05806451612903,1.00215053763441,-5.21720430107527,3.01935483870968,-0.0605074118181634,-7.86944,0.0344972999332478,0.0226904702450694,-0.0136015166542125,-0.00454900100049535,-0.0126606423602498,0.0249511915280984,7
